id,code,name,account_type,tag_ids,reconcile,name@vi_VN
c133_chart3385,3385,Unemployment insurance,liability_payable,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",True,"Bảo hiểm thất nghiệp"
c133_chart3386,3386,Deposits received,liability_payable,"account.account_tag_operating,l10n_vn_viin.account_account_tag_3386_c133",True,"Nhận ký quỹ, ký cược"
c133_chart3387,3387,Unearned revenue,liability_payable,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338,l10n_vn_viin.account_account_tag_3387",True,"Doanh thu chưa thực hiện"
c133_chart3388,3388,Others,liability_payable,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",True,"Phải trả, phải nộp khác"
c133_chart341,341,Borrowings and finance lease liabilities,liability_current,l10n_vn_viin.account_account_tag_341,True,"Vay và nợ thuê tài chính"
c133_chart3411,3411,Borrowing loans,liability_current,"l10n_vn_viin.account_account_tag_341,l10n_vn_viin.account_account_tag_3411",True,"Các khoản đi vay"
c133_chart3412,3412,Finance lease liabilities,liability_current,"l10n_vn_viin.account_account_tag_341,l10n_vn_viin.account_account_tag_3412",True,"Nợ thuê tài chính"
c133_chart352,352,Provisions payable,liability_current,l10n_vn_viin.account_account_tag_352,,"Dự phòng phải trả"
c133_chart3521,3521,Product warranty provisions,liability_current,l10n_vn_viin.account_account_tag_352,,"Dự phòng bảo hành sản phẩm hàng hóa"
c133_chart3522,3522,Construction warranty provisions,liability_current,l10n_vn_viin.account_account_tag_352,,"Dự phòng bảo hành công trình xây dựng"
c133_chart3524,3524,Other provisions,liability_current,l10n_vn_viin.account_account_tag_352,,"Dự phòng phải trả khác"
c133_chart353,353,Bonus and welfare fund,liability_current,l10n_vn_viin.account_account_tag_353,,"Quỹ khen thưởng phúc lợi"
c133_chart3531,3531,Bonus fund,liability_current,l10n_vn_viin.account_account_tag_353,,"Quỹ khen thưởng"
c133_chart3532,3532,Welfare fund,liability_current,l10n_vn_viin.account_account_tag_353,,"Quỹ phúc lợi"
c133_chart3533,3533,Welfare fund used for fixed asset acquisitions,liability_current,l10n_vn_viin.account_account_tag_353,,"Quỹ phúc lợi đã hình thành TSCĐ"
c133_chart3534,3534,Management bonus fund,liability_current,l10n_vn_viin.account_account_tag_353,,"Qũy thưởng ban quản lý điều hành công ty"
c133_chart356,356,Science and technology development fund,liability_current,l10n_vn_viin.account_account_tag_356,,"Quỹ phát triển khoa học công nghệ"
c133_chart3561,3561,Science and technology development fund,liability_current,l10n_vn_viin.account_account_tag_356,,"Quỹ phát triển khoa học công nghệ"
